date,temp max,temp min
1964-02-06,35.08000183,24.02000046
1964-03-06,34.16999817,24.28000069
1964-04-06,35.06999969,24.15999985
1964-05-06,34.65000153,24.55999947
1964-06-06,34.88999939,24.76000023
1964-07-06,34.99000168,24.05999947
1964-08-06,33.47999954,23.75
1964-09-06,32.36999893,22.60000038
1964-10-06,31.34000015,23.37999916
1964-11-06,31.53000069,22.26000023
1964-12-06,29.79999924,23.19000053
1964-01-07,27.48999977,22.64999962
1964-02-07,27.89999962,23.12000084
1964-03-07,28.38999939,22.75
1964-04-07,28.95999908,22.90999985
1964-05-07,27.47999954,22.81999969
1964-06-07,27.29000092,22.22999954
1964-07-07,26.12000084,22.84000015
1964-08-07,27.55999947,23.22999954
1964-09-07,29.12999916,22.39999962
1964-10-07,28.06999969,22.67000008
1964-11-07,27.43000031,22.04999924
1964-12-07,26.87999916,21.61000061
1964-01-08,29.05999947,21.79999924
1964-02-08,29.02000046,21.77000046
1964-03-08,26.76000023,21.53000069
1964-04-08,25.70000076,21.39999962
1964-05-08,26.22999954,21.37000084
1964-06-08,26.32999992,21.93000031
1964-07-08,26.55999947,21.29000092
1964-08-08,26.19000053,21.14999962
1964-09-08,26.93000031,22.04999924
1964-10-08,27.38999939,22.19000053
1964-11-08,26.62000084,22.46999931
1964-12-08,25.04000092,21.48999977
1964-01-09,28.95000076,22.20000076
1964-02-09,28.47999954,22.05999947
1964-03-09,27.77000046,21.75
1964-04-09,27.63999939,21.35000038
1964-05-09,29.04000092,22.46999931
1964-06-09,29.85000038,21.84000015
1964-07-09,29.35000038,21.32999992
1964-08-09,29.10000038,21.06999969
1964-09-09,29.56999969,20.63999939
1964-10-09,29.79000092,21.21999931
1964-11-09,29.73999977,22.05999947
1964-12-09,29.87999916,21.45000076
1964-01-10,26.79999924,21.18000031
1964-02-10,28.34000015,22.29999924
1964-03-10,29.43000031,22.21999931
1964-04-10,30.28000069,21.59000015
1964-05-10,30.17000008,21.69000053
1964-06-10,29.88999939,21.62000084
1964-07-10,30.15999985,22.04000092
1964-08-10,29.95000076,22.96999931
1964-09-10,30.40999985,21.39999962
1964-10-10,30.29999924,21.5
1964-11-10,30.70999908,21.85000038
1964-12-10,30.37000084,21.44000053
1964-01-11,32.11999893,21.39999962
1964-02-11,32.95999908,21.03000069
1964-03-11,32.24000168,20.65999985
1964-04-11,32.43999863,20.59000015
1964-05-11,32.27999878,20.97999954
1964-06-11,31.28000069,19.12999916
