_id,Date,Rain,Temp Max,Temp Min
15802,06-04-1994,0,34.38000107,22.03000069
15803,07-04-1994,0,34.18999863,21.62000084
15804,08-04-1994,0,33.90999985,21
15805,09-04-1994,0,34.25999832,21.45999908
15806,10-04-1994,0,34.79000092,20.93000031
15807,11-04-1994,0,34.29999924,21.93000031
15808,12-04-1994,0,33.15000153,21.92000008
15809,13-04-1994,0,33.18000031,21.54000092
15810,14-04-1994,0,34.04999924,23.29000092
15811,15-04-1994,0,35.91999817,23.18000031
15812,16-04-1994,0,36.31000137,23.82999992
15813,17-04-1994,0,36.04999924,23.55999947
15814,18-04-1994,0,35.40999985,21.70999908
15815,19-04-1994,0,35.20999908,21.30999947
15816,20-04-1994,0,34.65000153,22.07999992
15817,21-04-1994,0,35.47000122,22.12999916
15818,22-04-1994,0,35.58000183,22.09000015
15819,23-04-1994,0,34.93000031,22.28000069
15820,24-04-1994,0,34.90999985,22.52000046
15821,25-04-1994,0,34.36999893,21.61000061
15822,26-04-1994,0,34.24000168,22.10000038
15823,27-04-1994,0,34.81999969,22.36000061
15824,28-04-1994,0,35.49000168,22.46999931
15825,29-04-1994,0,35.59999847,22.04999924
15826,30-04-1994,0,35.33000183,22.44000053
15827,01-05-1994,0,35.20000076,22.42000008
15828,02-05-1994,0,34.86999893,22.09000015
15829,03-05-1994,0,35.00999832,23.02000046
15830,04-05-1994,0,35.47999954,23.03000069
15831,05-05-1994,0,35.38000107,22.95999908
15832,06-05-1994,0,35.11999893,22.79999924
15833,07-05-1994,0,35.36000061,23.43000031
15834,08-05-1994,0,34.93000031,23.29000092
15835,09-05-1994,0,34.77999878,24.27000046
15836,10-05-1994,0,35.11999893,24.39999962
15837,11-05-1994,0,34.84999847,24.07999992
15838,12-05-1994,0,35.20000076,23.93000031
15839,13-05-1994,0,35.13000107,24.54000092
15840,14-05-1994,0,35.90000153,23.67000008
15841,15-05-1994,0,36.41999817,23.93000031
15842,16-05-1994,0,36.27999878,23.81999969
15843,17-05-1994,0,35.77999878,23.46999931
15844,18-05-1994,0,35.47000122,23.79000092
15845,19-05-1994,0,35.08000183,23.54000092
15846,20-05-1994,0,35.18000031,23.88999939
15847,21-05-1994,0,35.08000183,23.95000076
15848,22-05-1994,0,36.02000046,24.82999992
15849,23-05-1994,0,35.63999939,24.57999992
15850,24-05-1994,0,34.95000076,23.93000031
